time,S,I,R
0,215,5,0
1,214,6,0
2,214,6,0
3,213,7,0
4,213,7,0
5,213,7,0
6,213,7,0
7,213,1,6
8,213,1,6
9,213,0,7
10,213,0,7
11,213,0,7
12,213,0,7
13,213,0,7
14,213,0,7
15,213,0,7
16,213,0,7
17,213,0,7
18,213,0,7
19,213,0,7
20,213,0,7
21,213,0,7
22,213,0,7
23,213,0,7
24,213,0,7
25,213,0,7
26,213,0,7
27,213,0,7
28,213,0,7
29,213,0,7
30,213,0,7
31,213,0,7
32,213,0,7
33,213,0,7
34,213,0,7
35,213,0,7
36,213,0,7
37,213,0,7
38,213,0,7
39,213,0,7
40,213,0,7
41,213,0,7
42,213,0,7
43,213,0,7
44,213,0,7
45,213,0,7
46,213,0,7
47,213,0,7
48,213,0,7
49,213,0,7
50,213,0,7
51,213,0,7
52,213,0,7
53,213,0,7
54,213,0,7
55,213,0,7
56,213,0,7
57,213,0,7
58,213,0,7
59,213,0,7
60,213,0,7
61,213,0,7
62,213,0,7
63,213,0,7
64,213,0,7
65,213,0,7
66,213,0,7
67,213,0,7
68,213,0,7
69,213,0,7
70,213,0,7
71,213,0,7
72,213,0,7
73,213,0,7
74,213,0,7
75,213,0,7
76,213,0,7
77,213,0,7
78,213,0,7
79,213,0,7
80,213,0,7
